ground_truth,mask,pixel_count,area_km2_approx,gt_intersection_pixels,gt_recall_proxy,gt_precision_proxy,gt_iou_proxy
groundsource_media_polygons,ground_truth_reference,843769,934.209836211099,843769,0.9999999999999881,0.9999999999999881,0.9999999999999881
groundsource_media_polygons,dl_before_water_mask,2664111,2949.66833453017,514993,0.6103483299338964,0.19330763620584807,0.17207231679645718
groundsource_media_polygons,dl_after_water_mask,2651836,2936.0776174743273,533010,0.6317013305774373,0.20099659254946312,0.1799132179727564
groundsource_media_polygons,dl_flood_mask_after_minus_before,225466,249.63296225764591,69273,0.0820994845745686,0.3072436642331745,0.06927563247403332
unstats_flood_extent,ground_truth_reference,49805,55.143434864866784,49805,0.9999999999997993,0.9999999999997993,0.9999999999997993
unstats_flood_extent,dl_before_water_mask,2664111,2949.66833453017,34576,0.694227487199941,0.012978438210720152,0.012904670553195888
unstats_flood_extent,dl_after_water_mask,2651836,2936.0776174743273,39773,0.7985744403170769,0.01499828797859289,0.014941762701982162
unstats_flood_extent,dl_flood_mask_after_minus_before,225466,249.63296225764591,6571,0.13193454472439878,0.029144083808643913,0.02445478228507538
combined_union,ground_truth_reference,888384,983.6069719704811,888384,0.9999999999999887,0.9999999999999887,0.9999999999999887
combined_union,dl_before_water_mask,2664111,2949.66833453017,546955,0.6156740778762267,0.20530488406826816,0.1819822727363463
combined_union,dl_after_water_mask,2651836,2936.0776174743273,569922,0.6415266371298826,0.21491600536383015,0.19187367732126479
combined_union,dl_flood_mask_after_minus_before,225466,249.63296225764591,75415,0.08489009257258028,0.3344850221319252,0.07262370779105026
