experiment,threshold,val_loss,iou_water,f1_water,precision,recall,true_water_frac,pred_water_frac,tp,fp,fn,tn,checkpoint_epoch,base_channels,class_weight_0,class_weight_1
threshold_sweep_existing_best,0.05,0.393625508248806,0.17388823054461527,0.29626028444623104,0.1752729832417454,0.9565399553292528,0.1189303331401015,0.649053912617103,972584,4576383,44189,2956160,14,16,0.48836833238601685,1.511631727218628
threshold_sweep_existing_best,0.1,0.393625508248806,0.21080125273766168,0.34820124650686163,0.21575626455422828,0.9017578161497118,0.1189303331401015,0.49707181252862803,916883,3332741,99890,4199802,14,16,0.48836833238601685,1.511631727218628
threshold_sweep_existing_best,0.15,0.393625508248806,0.23985154838846373,0.38690365584527975,0.2508239177211066,0.8457482643618502,0.1189303331401015,0.4010188651349418,859934,2568503,156839,4964040,14,16,0.48836833238601685,1.511631727218628
threshold_sweep_existing_best,0.2,0.393625508248806,0.26636862476836654,0.42068102376918637,0.28522409203876353,0.8011660419778968,0.1189303331401015,0.3340634502222166,814604,2041410,202169,5491133,14,16,0.48836833238601685,1.511631727218628
threshold_sweep_existing_best,0.25,0.393625508248806,0.2923115266107115,0.45238554418429444,0.32098515589096466,0.7659320221917698,0.1189303331401015,0.28379053950046995,778779,1647436,237994,5885107,14,16,0.48836833238601685,1.511631727218628
threshold_sweep_existing_best,0.3,0.393625508248806,0.31795441581899286,0.4824968329749283,0.3586894020821895,0.7368232634029351,0.1189303331401015,0.24430784872146497,749182,1339483,267591,6193060,14,16,0.48836833238601685,1.511631727218628
threshold_sweep_existing_best,0.35,0.393625508248806,0.3429057737244951,0.5106922323722829,0.3987765580433304,0.7099332889445263,0.1189303331401015,0.21172910207085574,721841,1088298,294932,6444245,14,16,0.48836833238601685,1.511631727218628
threshold_sweep_existing_best,0.39999999999999997,0.393625508248806,0.36643365062802186,0.5363358117821624,0.44174459072601024,0.6824748493518151,0.1189303331401015,0.18374183384963194,693922,876945,322851,6655598,14,16,0.48836833238601685,1.511631727218628
threshold_sweep_existing_best,0.44999999999999996,0.393625508248806,0.38637551836384765,0.5573894132519517,0.48676682233382906,0.6519823008675422,0.1189303331401015,0.15929695428265842,662918,698962,353855,6833581,14,16,0.48836833238601685,1.511631727218628
threshold_sweep_existing_best,0.49999999999999994,0.393625508248806,0.39895185817123013,0.5703582376204956,0.5323346954222515,0.6142314951321425,0.1189303331401015,0.13722711852035882,624534,548664,392239,6983879,14,16,0.48836833238601685,1.511631727218628
threshold_sweep_existing_best,0.5499999999999999,0.393625508248806,0.39289452525450885,0.5641411006087764,0.5745263172922045,0.5541246669610567,0.1189303331401015,0.11470707130254632,563419,417248,453354,7115295,14,16,0.48836833238601685,1.511631727218628
threshold_sweep_existing_best,0.6,0.393625508248806,0.3323319221153923,0.4988725656107327,0.5957551981276145,0.4290928260290111,0.1189303331401015,0.08565960130611619,436290,296041,580483,7236502,14,16,0.48836833238601685,1.511631727218628
threshold_sweep_existing_best,0.65,0.393625508248806,0.23756435525095443,0.383922426729527,0.6049500006347655,0.281186656215298,0.1189303331401015,0.05527997795379186,285903,186703,730870,7345840,14,16,0.48836833238601685,1.511631727218628
threshold_sweep_existing_best,0.7,0.393625508248806,0.17482568196224474,0.29761978248593157,0.6609854511234704,0.19204581553601255,0.1189303331401015,0.03455457723167561,195267,100151,821506,7432392,14,16,0.48836833238601685,1.511631727218628
threshold_sweep_existing_best,0.75,0.393625508248806,0.11188390352754124,0.20125105359036236,0.7394648933844875,0.11647535880673349,0.1189303331401015,0.018733077593575908,118429,41726,898344,7490817,14,16,0.48836833238601685,1.511631727218628
threshold_sweep_existing_best,0.7999999999999999,0.393625508248806,0.04426460027268117,0.08477659830874795,0.7878441953783057,0.04479859319631772,0.1189303331401015,0.006762646274859884,45550,12266,971223,7520277,14,16,0.48836833238601685,1.511631727218628
threshold_sweep_existing_best,0.85,0.393625508248806,0.002522617075179271,0.005032538981592072,0.7576741440355441,0.0025246539788133385,0.1189303331401015,0.0003962890130625655,2567,821,1014206,7531722,14,16,0.48836833238601685,1.511631727218628
threshold_sweep_existing_best,0.9,0.393625508248806,0.0,0.0,0.0,0.0,0.1189303331401015,0.0,0,0,1016773,7532543,14,16,0.48836833238601685,1.511631727218628
threshold_sweep_existing_best,0.95,0.393625508248806,0.0,0.0,0.0,0.0,0.1189303331401015,0.0,0,0,1016773,7532543,14,16,0.48836833238601685,1.511631727218628
