epoch,train_loss,val_loss,accuracy,iou_water,f1_water,true_water_frac,pred_water_frac,train_pred_water_frac,lr,seconds
1,0.3760327249765396,0.43946844792884326,0.8919586487438368,0.31316444748269584,0.4353546810191574,0.10845921990340171,0.11489476271621558,0.1462547135055065,0.0009996145181203615,47.71898794174194
2,0.3387348424196243,0.40828338524569635,0.9064439716546432,0.2947402649312701,0.42093936437758506,0.10845921990340171,0.07769042909469294,0.14005666834115982,0.000998458666866564,47.630250692367554
3,0.3272530733346939,0.40079845423283783,0.8383068986560988,0.3218987550947571,0.434968523473246,0.10845921990340171,0.20163066669002824,0.15091744598746298,0.0009965342284774632,47.4213604927063
4,0.32014028751850127,0.4020660529318063,0.8974828175876451,0.33389364498092583,0.44828925624581084,0.10845921990340171,0.11453563541568734,0.14920319670438767,0.0009938441702975688,47.88483500480652
5,0.32260826241970064,0.35198722520600195,0.8991821693337482,0.3820186711255852,0.5137847781202833,0.10845921990340171,0.14071396139004957,0.16012489199638366,0.0009903926402016151,47.82664966583252
6,0.3130643334388733,0.3909047858222671,0.9050162486408068,0.28870779273524955,0.41209217090243483,0.10845921990340171,0.07661127430670288,0.1416226237565279,0.0009861849601988382,47.60047149658203
7,0.3040940811038017,0.36179347465867584,0.9007439665172411,0.3635247645006689,0.47499273766014777,0.10845921990340171,0.12947563967621967,0.14482999920845033,0.0009812276182268236,47.61341214179993
8,0.3035497607588768,0.35657948093569797,0.8862801220106042,0.3599031110798367,0.474005095609633,0.10845921990340171,0.14727418072035778,0.14441618674993514,0.0009755282581475768,48.066384077072144
9,0.30292002606391905,0.3606225909746211,0.9051261647887852,0.36318955126885005,0.4859467797462694,0.10845921990340171,0.11949261731427649,0.1447082177400589,0.0009690956679612421,47.333858013153076
10,0.30784771251678467,0.35132432729005814,0.8959833694540936,0.37236475855097656,0.48512037651666534,0.10845921990340171,0.13890784077407065,0.1489025801718235,0.0009619397662556433,47.4748318195343
11,0.29750011789798736,0.4055803936460744,0.8493561200473619,0.3440966797441164,0.45763457742953567,0.10845921990340171,0.19164756730036892,0.14719841000437736,0.0009540715869125406,47.95752453804016
12,0.29106255519390106,0.3197162906112878,0.9114779233932495,0.3894321992434719,0.5033704121339903,0.10845921990340171,0.11879378791301227,0.14053034055233002,0.0009455032620941839,47.47925305366516
13,0.2913187571763992,0.3504136207958926,0.9183218997457753,0.3815802294583713,0.49580104622642585,0.10845921990340171,0.09934587018695944,0.14527142122387887,0.0009362480035363986,47.463974714279175
14,0.28463563591241836,0.36482434557831805,0.8421814299148062,0.35576639246055963,0.4744482029606926,0.10845921990340171,0.21188197491447563,0.14523108921945094,0.0009263200821770461,47.65439057350159
15,0.28568798494338987,0.4329258138718812,0.768807823891225,0.32760921060868425,0.4415901738923248,0.10845921990340171,0.29976285909019085,0.14665537297725678,0.0009157348061512728,47.32725548744202
16,0.2833000646233559,0.3584374914998594,0.9059718821359717,0.36422758958120066,0.48001298218426053,0.10845921990340171,0.11790895251476247,0.14631862848997115,0.0009045084971874739,47.00991749763489
17,0.27725544983148576,0.33150757525278174,0.9087622295255247,0.39231227919497674,0.5114352600092954,0.10845921990340171,0.12148693283898351,0.14493520811200142,0.0008926584654403725,47.612571716308594
18,0.2858119522333145,0.3352551227030547,0.8942091879637345,0.38759895500181213,0.502010331601415,0.10845921990340171,0.14594998572062215,0.1500823982357979,0.0008802029828000156,47.719712257385254
19,0.2799649139046669,0.3487832393983136,0.8734333437422047,0.37447999787554886,0.49624384625791934,0.10845921990340171,0.1714203841984272,0.14706887164711951,0.0008671612547178428,47.076772928237915
