experiment,threshold,val_loss,iou_water,f1_water,precision,recall,true_water_frac,pred_water_frac,tp,fp,fn,tn,checkpoint_epoch,base_channels,class_weight_0,class_weight_1
colab_full_weighted_ce_threshold_sweep,0.05,0.2790761981969294,0.28504522158676915,0.4436345379889377,0.28839891835884335,0.9608031801859536,0.11025550216436386,0.3673170506954193,2149898,5304700,87707,12752420,74,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.1,0.2790761981969294,0.35523928364246543,0.524245847844215,0.3650515154009203,0.9296578261131839,0.11025550216436386,0.28078198432922363,2080207,3618186,157398,14438934,74,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.15,0.2790761981969294,0.4018810814870319,0.5733454667363659,0.42084037852883677,0.8991993671805306,0.11025550216436386,0.2355802357196808,2012053,2768983,225552,15288137,74,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.2,0.2790761981969294,0.43557832776941124,0.6068332453112593,0.46682709422102064,0.8667932901472742,0.11025550216436386,0.20471975207328796,1939541,2215190,298064,15841930,74,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.25,0.2790761981969294,0.45962949689187577,0.6297892689488769,0.5069996294818977,0.8310635702011713,0.11025550216436386,0.18072859942913055,1859592,1808245,378013,16248875,74,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.3,0.2790761981969294,0.4769581262632638,0.6458654687387492,0.5444140627035388,0.7937875541036028,0.11025550216436386,0.16075897216796875,1776183,1486376,461422,16570744,74,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.35,0.2790761981969294,0.49038575192566597,0.65806553946461,0.581217282172008,0.7583317877820226,0.11025550216436386,0.14385369420051575,1696847,1222624,540758,16834496,74,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.39999999999999997,0.2790761981969294,0.501579329761707,0.6680690388050361,0.6185032454990206,0.726271169397634,0.11025550216436386,0.12946641445159912,1625108,1002377,612497,17054743,74,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.44999999999999996,0.2790761981969294,0.5112535641474438,0.6765953461103816,0.6570752494185366,0.6973107407250132,0.11025550216436386,0.11700691282749176,1560306,814317,677299,17242803,74,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.49999999999999994,0.2790761981969294,0.5180641706642445,0.6825326368615368,0.6962744149092177,0.6693227803834875,0.11025550216436386,0.10598769783973694,1497680,653311,739925,17403809,74,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.5499999999999999,0.2790761981969294,0.5205683663125305,0.6847023492602835,0.7369419533628276,0.6393787107197176,0.11025550216436386,0.09565885365009308,1430677,510693,806928,17546427,74,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.6,0.2790761981969294,0.5175098895092555,0.6820514226455711,0.7800340813903137,0.605937598459064,0.11025550216436386,0.08564747869968414,1355849,382343,881756,17674777,74,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.65,0.2790761981969294,0.5074855544559934,0.6732874526802743,0.827165204865906,0.5676815166215639,0.11025550216436386,0.0756680890917778,1270247,265416,967358,17791704,74,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.7,0.2790761981969294,0.48825736647866014,0.6561464132160385,0.8805048579635393,0.5229064110957898,0.11025550216436386,0.06547755748033524,1170058,158791,1067547,17898329,74,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.75,0.2790761981969294,0.4423209572644823,0.6133460864402772,0.931907100489272,0.4570940805012482,0.11025550216436386,0.0540795736014843,1022796,74734,1214809,17982386,74,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.7999999999999999,0.2790761981969294,0.20428817421793638,0.3392679237269783,0.9850904669218692,0.20492178020696145,0.11025550216436386,0.022935714572668076,458534,6940,1779071,18050180,74,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.85,0.2790761981969294,0.001829616821749104,0.003652550874975059,0.9946550048566699,0.001829634810433469,0.11025550216436386,0.00020281133765820414,4094,22,2233511,18057098,74,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.9,0.2790761981969294,0.0,0.0,0.0,0.0,0.11025550216436386,0.0,0,0,2237605,18057120,74,32,0.4806916415691376,1.51930832862854
colab_full_weighted_ce_threshold_sweep,0.95,0.2790761981969294,0.0,0.0,0.0,0.0,0.11025550216436386,0.0,0,0,2237605,18057120,74,32,0.4806916415691376,1.51930832862854
