epoch,train_loss,val_loss,accuracy,iou_water,f1_water,true_water_frac,pred_water_frac,train_pred_water_frac,lr,seconds
1,0.4081575005054474,0.4400595750497735,0.8756798920424088,0.3075628043145027,0.42760862785073944,0.10845921990340171,0.1403440807176673,0.15331877982616424,0.000998458666866564,29.27918028831482
2,0.354026584148407,0.5050144260344298,0.7807797996894174,0.2584294129046552,0.37543063665789556,0.10845921990340171,0.2595195187174756,0.13600613472983242,0.0009938441702975688,23.770362377166748
3,0.34386052751541135,0.41954978523047076,0.8515320860821268,0.297582545890792,0.41940904446617155,0.10845921990340171,0.17491425314675207,0.1432379386126995,0.0009861849601988382,25.69760274887085
4,0.3303217840194702,0.44984313197757886,0.7813909377740778,0.27849838021346324,0.3893548409134432,0.10845921990340171,0.2651745132778002,0.1438626074194908,0.0009755282581475767,27.37809443473816
5,0.3197947068214417,0.38409160952205246,0.928727590519449,0.3174007136182796,0.4232059249849481,0.10845921990340171,0.051913658258221716,0.1477208487689495,0.0009619397662556432,31.62404441833496
6,0.3076712055206299,0.3492155826610068,0.9335518712582795,0.40397051311017207,0.5156366989429796,0.10845921990340171,0.08412747985035506,0.14451153206825257,0.0009455032620941838,27.584912061691284
7,0.30819592642784116,0.4064313672159029,0.8241614725278772,0.30265319419556475,0.42561191892213335,0.10845921990340171,0.22017752735511117,0.15438072752952575,0.000926320082177046,25.84878444671631
8,0.29023780155181883,0.3541667681673299,0.8540676028832145,0.34286118875223187,0.4640477997957492,0.10845921990340171,0.19689530514828538,0.1469881121814251,0.0009045084971874736,27.04856562614441
9,0.29697163444757463,0.3814362164424813,0.8946768615556799,0.35781609700583017,0.48014808719796653,0.10845921990340171,0.1315786143683869,0.14559359806776045,0.0008802029828000154,27.534443140029907
10,0.2944057641029358,0.3912135084038195,0.9243011941080508,0.3070230346868334,0.41413739443226205,0.10845921990340171,0.04527334551043485,0.14614358299970626,0.0008535533905932736,30.456951379776
11,0.2940042793750763,0.3708709057258523,0.8256298057411028,0.34620819269161174,0.4679307799852896,0.10845921990340171,0.23543335720086875,0.14789843273162842,0.0008247240241650918,35.256054162979126
12,0.2869888282418251,0.4113511277929596,0.8042797161185223,0.3150691453307331,0.42468514562209136,0.10845921990340171,0.2469563110853019,0.14820208951830863,0.0007938926261462365,27.875216960906982
13,0.2831384882926941,0.31844107255987497,0.9320256399071735,0.42030881896667543,0.5343197144161587,0.10845921990340171,0.09375646971571057,0.1439021865129471,0.0007612492823579742,26.27493667602539
14,0.2799116804599762,0.3329492029936417,0.89544459529545,0.38848411213375406,0.508990468713469,0.10845921990340171,0.14335783152922016,0.14295559084415435,0.0007269952498697732,27.814459562301636
15,0.28133219242095947,0.3514059590904609,0.9225105876507966,0.3998533519743097,0.5171994336346812,0.10845921990340171,0.10284890320516475,0.14975483375787735,0.0006913417161825447,26.019280672073364
16,0.27519427675008773,0.2997626007898994,0.9384140916492628,0.44727396127000213,0.5721742326758708,0.10845921990340171,0.08743057946634034,0.14779786004126072,0.0006545084971874736,32.643195390701294
17,0.26830956411361695,0.33195333765900653,0.9408292018848917,0.41926569716996337,0.5299813034530647,0.10845921990340171,0.0691499384879337,0.14900932089984417,0.0006167226819279527,35.86877727508545
18,0.2683204995393753,0.3422691766982493,0.8954089180282925,0.3683450455353731,0.4984206560482092,0.10845921990340171,0.13476005683997241,0.15032091906666756,0.0005782172325201154,27.930460214614868
19,0.27020561265945436,0.30905029080484225,0.9253420959348264,0.43611467306723506,0.5611363897346969,0.10845921990340171,0.10849379711156792,0.1457337606549263,0.0005392295478639224,25.60118794441223
20,0.2654206413626671,0.2810163024974906,0.9230086622030839,0.43184913403857655,0.5555405045225457,0.10845921990340171,0.12048964129011754,0.1478509766459465,0.0004999999999999999,27.46875
21,0.26468470883369444,0.3017294018164925,0.9031378264012544,0.406506797597693,0.53117759958075,0.10845921990340171,0.14193175333228125,0.14994131350517273,0.0004607704521360775,26.682118892669678
22,0.2630053678750992,0.2907324731349945,0.9357395638590273,0.4413391500465579,0.5616325518380966,0.10845921990340171,0.09419940769895101,0.14758781722187997,0.0004217827674798846,33.20695662498474
23,0.26481574177742007,0.30556686190159427,0.9207164152808811,0.40912418902969955,0.5245159120459774,0.10845921990340171,0.11098427825060714,0.15121476450562477,0.0003832773180720472,35.101454973220825
24,0.2567540689110756,0.29228286024021066,0.9308195373286372,0.4301460927158166,0.546224997065097,0.10845921990340171,0.10102046354871203,0.15136598588526248,0.0003454915028125262,28.064323902130127
