epoch,seconds,train_loss,train_accuracy,train_water_iou,train_water_f1,train_true_water_frac,train_pred_water_frac,val_loss,val_accuracy,val_water_iou,val_water_f1,val_true_water_frac,val_pred_water_frac
1,14.949801921844482,0.47599479332566264,0.8517330378293991,0.29262874160221275,0.4161644057711699,0.09354163764510304,0.17203565537929535,0.49087945073843003,0.8134746849536896,0.2977214042611387,0.386292453600917,0.11362826865224633,0.23154052421450616
2,13.3661470413208,0.40020500794053077,0.8714113518595695,0.3100984267915276,0.4408592286370947,0.09372033379040659,0.15252834754064679,0.4352540157735348,0.8733380764722825,0.3051710923402389,0.3950655978975429,0.11362826865224633,0.1519122388213873
3,13.488296270370483,0.3805955983698368,0.8785432934761047,0.29098687516364513,0.42360799988158393,0.09359044372104108,0.13126818714663385,0.4242543026804924,0.8901705652475357,0.29665612030357463,0.38705762842138236,0.11362826865224633,0.12332965489476919
4,13.102006912231445,0.3724416755139828,0.8780055567622185,0.313169616715832,0.4368624342567845,0.09375177709152922,0.1389174249023199,0.4225074328482151,0.8699312090873719,0.3084011311739423,0.3954324826599676,0.11362826865224633,0.15848740320652724
5,13.447510004043579,0.3565310645848513,0.8813424423336983,0.32898665310151626,0.45950427562430074,0.09061668743379414,0.13573028594255448,0.42161532714962957,0.886553767323494,0.3002483494282625,0.3898689289453431,0.11362826865224633,0.1310854649171233
6,13.559429168701172,0.36550337821245193,0.874761526286602,0.3195103460298503,0.4403795769678969,0.09603826508391648,0.138235495518893,0.4257518135011196,0.866901695728302,0.30571319375698336,0.39659183942353743,0.11362826865224633,0.16151020918041467
7,13.23688817024231,0.3432702995836735,0.8810239791870117,0.3394879473109504,0.46612933090190156,0.09794149678200484,0.14440080067142844,0.45946200266480447,0.8894312530755997,0.01530220222344981,0.028628870054678356,0.11362826865224633,0.004780497001047479
8,13.087053060531616,0.33432653099298476,0.8876381486654281,0.33456517358362536,0.4595627467693945,0.09296434422722086,0.12250966355204582,0.39993872568011285,0.8689602702856064,0.30874391987417626,0.3985090836318392,0.11362826865224633,0.16111955642700196
9,13.40286636352539,0.34461794793605804,0.881093007326126,0.3245912188696484,0.4557608914819814,0.09623967070365325,0.13645562874153255,0.41216301918029785,0.8832417279481888,0.2809532388958388,0.3769431014521544,0.11362826865224633,0.12178291324526072
10,12.972602844238281,0.3498251836746931,0.8814512975513935,0.32164732206909985,0.45100250010121246,0.09265717492671684,0.12559606768190862,0.3883704997599125,0.905780965089798,0.27177117457908795,0.3650618118757206,0.11362826865224633,0.08623054511845112
11,13.259290218353271,0.34837381578981874,0.8919373646378517,0.3451170552623143,0.47758840857409146,0.09448963860049844,0.1147508468478918,0.4042934771627188,0.9041083246469498,0.25200856881443234,0.3436766980991318,0.11362826865224633,0.077109569683671
12,13.31110692024231,0.34332761242985727,0.8882073290646076,0.33641981620944217,0.4610920120423117,0.09251977395033464,0.1254824290983379,0.4290758542716503,0.8412070870399475,0.3072485950007933,0.3935742335878485,0.11362826865224633,0.20236725676804782
13,13.340440034866333,0.33781749978661535,0.8850874751806259,0.3139313076416363,0.4418245393538884,0.09373485870892181,0.1280065646395087,0.455787131935358,0.8635495036840439,0.1747747846663426,0.2673562944122289,0.11362826865224633,0.1056636830791831
14,13.099419116973877,0.3495595995336771,0.8871909193694592,0.31703864547709504,0.44327554406955316,0.09705183887854218,0.11109289138112217,0.39362556040287017,0.889378672838211,0.32063621524437436,0.4086786532291307,0.11362826865224633,0.13827612940222025
15,13.339087009429932,0.3535532608628273,0.8804474398493767,0.3505519218424754,0.48130773972487323,0.0953442671976518,0.1494054558686912,0.40531212389469146,0.868556809425354,0.3162856021685295,0.40304432358492015,0.11362826865224633,0.166480840370059
16,13.312480211257935,0.34460676163434983,0.8712065577507019,0.3365571003911693,0.4636147964543828,0.10007928970153443,0.15831623459234834,0.4276795044541359,0.8578734904527664,0.3106791196730504,0.3955400147567302,0.11362826865224633,0.1771511636674404
17,13.040525674819946,0.34102908745408056,0.8862497180700302,0.3158358066041875,0.4521936209681853,0.09145976359723136,0.12769881563726812,0.41303636878728867,0.9023916453123093,0.1805811835850699,0.2697302191382041,0.11362826865224633,0.04302046517841518
18,13.033709049224854,0.3268894672393799,0.8925595924258232,0.33517966839530605,0.46632083152630194,0.09295343424892052,0.12403958556242287,0.383889452368021,0.9086507499217987,0.2455269254425946,0.3365965176354466,0.11362826865224633,0.06583044258877635
19,13.218737125396729,0.3464774422347546,0.8700716838240623,0.3139670200326916,0.43310644255939124,0.09584291515639051,0.13283248782972806,0.4193324722349644,0.8421728163957596,0.3089422411187457,0.39966137164321547,0.11362826865224633,0.1988053284585476
20,13.392967939376831,0.3484444472938776,0.8853461474180222,0.326407160277548,0.4592067946350629,0.09393429185729474,0.1328630612231791,0.4068228542804718,0.8876438140869141,0.31177536721086624,0.40007460923889726,0.11362826865224633,0.13497306909412146
