experiment,epochs_run,best_epoch,decision_rule,threshold,val_iou_water,val_f1_water,val_accuracy,val_true_water_frac,val_pred_water_frac,notes
local_weighted_ce_argmax_best_epoch,20,14,argmax,0.5,0.3206362152443743,0.4086786532291307,0.889378672838211,0.1136282686522463,0.1382761294022202,current local 80-train/40-val weighted CE run
local_weighted_ce_best_threshold,20,14,softmax_water_threshold,0.49999999999999994,0.39895185817123013,0.5703582376204956,,0.1189303331401015,0.13722711852035882,post-training threshold sweep on same validation subset
