experiment,epochs_run,best_epoch,decision_rule,threshold,val_iou_water,val_f1_water,val_accuracy,val_true_water_frac,val_pred_water_frac,notes
colab_full_weighted_ce_batch_avg_argmax,32,20,argmax / batch-averaged metrics,0.5,0.40272876405175706,0.5160145237579199,0.9255141071651293,0.10845921990340171,0.10174055889744879,Training metric; averages IoU/F1 per batch.
colab_full_weighted_ce_global_threshold,32,20,softmax water threshold / global confusion,0.6,0.49089673736312406,0.6585254700219534,,0.11025550216436386,0.08176741003990173,Recommended validation readout; computes confusion over all valid pixels.
