epoch,train_loss,val_loss,accuracy,iou_water,f1_water,true_water_frac,pred_water_frac,train_pred_water_frac,lr,seconds
1,0.5272918465137482,0.5704346687897391,0.9125549845073534,0.35380541605182986,0.46534493781526026,0.10845921990340171,0.09743173126860158,0.15926836186647414,0.0007996916144962892,49.86580777168274
2,0.5015738191604614,0.5558987817038661,0.8899468313092771,0.3357356190568983,0.46100800645004925,0.10845921990340171,0.13386001632265423,0.14676340728998183,0.0007987669334932512,48.48213982582092
3,0.49906700098514556,0.6042307757812998,0.8392793251120526,0.2911295888815227,0.41443330860175587,0.10845921990340171,0.19017161040202432,0.15774929010868072,0.0007972273827819706,48.42709970474243
4,0.4926988309621811,0.6528911966344585,0.8346843978633052,0.2489441582866185,0.3735540361019289,0.10845921990340171,0.1726043904605119,0.15418242448568345,0.0007950753362380551,48.35616850852966
5,0.48671442532539366,0.5326129185116809,0.8697076025216476,0.3332754854307999,0.4593621778712434,0.10845921990340171,0.16433685208144394,0.15276155561208726,0.0007923141121612922,48.4468047618866
6,0.4617671642303467,0.545092506253201,0.8540953786476798,0.34248137388293864,0.4709670834735504,0.10845921990340171,0.19414721073015875,0.14970457574725152,0.0007889479681590706,48.129151582717896
7,0.45438164591789243,0.5184188135292219,0.8909091845802639,0.3607939525036704,0.4800193806614274,0.10845921990340171,0.14381980612550094,0.1510621264874935,0.0007849820945814589,48.158968448638916
8,0.44986300683021546,0.5051799973715907,0.8614169903423475,0.3685274938180593,0.48695636511472723,0.10845921990340171,0.1875546663371927,0.1439393520951271,0.0007804226065180615,48.33484077453613
9,0.44602058398723604,0.48068437239398126,0.8906348010768061,0.378538815789173,0.5024469117917794,0.10845921990340171,0.15316522830044446,0.14635980582237243,0.0007752765343689937,48.385817766189575
10,0.4413067160844803,0.5634127246296924,0.8407978467319323,0.3337524057395405,0.46353936190918743,0.10845921990340171,0.21220453666604083,0.14688552916049957,0.0007695518130045147,48.320096015930176
11,0.4416822897195816,0.5797470484090887,0.81459049426991,0.318873674590091,0.44205702007021264,0.10845921990340171,0.2369672069730966,0.1482363921701908,0.0007632572695300324,48.26148200035095
12,0.43383581709861757,0.531491396219834,0.8608073540355848,0.36375102035575524,0.48422422807092386,0.10845921990340171,0.1907708877697587,0.1467784188091755,0.0007564026096753471,48.28957486152649
13,0.44008403837680815,0.47086721658706665,0.9184862167938895,0.4082810828001847,0.5279170616417673,0.10845921990340171,0.11360799777321517,0.14874263551831246,0.0007489984028291189,48.132161378860474
14,0.4301984829902649,0.5342755136282548,0.8554705847864565,0.3605950937983179,0.483705135747845,0.10845921990340171,0.19112432849310015,0.142200264275074,0.0007410560657416369,48.42538118362427
15,0.4184201368093491,0.5942735769178557,0.7727897322696188,0.3218782491288571,0.43910493193138067,0.10845921990340171,0.2938650420502476,0.14800004422664642,0.0007325878449210182,48.184001445770264
16,0.42231190419197084,0.45193356145983155,0.9167155727096226,0.414824364504037,0.539577331904887,0.10845921990340171,0.12031752354991825,0.14292557126283645,0.000723606797749979,47.99742817878723
17,0.426475980758667,0.4560382748427598,0.8924733011618905,0.39089409086071547,0.5109621142263948,0.10845921990340171,0.15300198521404323,0.14916282364726066,0.0007141267723522979,48.24750590324402
18,0.41505862867832183,0.49340335182521655,0.8806957304477692,0.38530926112454167,0.5022158766742683,0.10845921990340171,0.1624835751262372,0.1480455001592636,0.0007041623862400125,48.19401144981384
19,0.40989521420001984,0.47988285836966144,0.8786378399185513,0.3903312807105706,0.509045744553886,0.10845921990340171,0.16628586490253877,0.14105396646261215,0.0006937290037742743,47.887065172195435
20,0.4021466258764267,0.4615250631518986,0.9288488056348718,0.41038003309668386,0.5250481633887314,0.10845921990340171,0.09534164728519619,0.14539272046089172,0.000682842712474619,48.00587487220764
21,0.4055283625125885,0.44432461391324585,0.8982543841652249,0.41837868692941393,0.5415873010545136,0.10845921990340171,0.15265155918187584,0.14436251565814018,0.0006715202982131768,47.98436164855957
22,0.4159142835140228,0.5945832418358844,0.7939249173454617,0.31849899857269187,0.4408133239045346,0.10845921990340171,0.2683416721613511,0.1478354851603508,0.0006597792193320735,48.53508472442627
23,0.4016534925699234,0.46221916183181433,0.9308892073838607,0.4024849246314177,0.5167536255368262,0.10845921990340171,0.08936955746890896,0.14681669580936432,0.0006476375797239335,48.01404881477356
24,0.3994503858089447,0.47418273985385895,0.8948278012483016,0.3941489403027102,0.5152178284172247,0.10845921990340171,0.14612351720342817,0.14138121701776982,0.0006351141009169892,48.3040075302124
25,0.39803473246097565,0.4545261808063673,0.8989091671031454,0.407998341895529,0.5271817111407028,0.10845921990340171,0.14511817867827156,0.14804652631282805,0.0006222280932078408,47.782278537750244
26,0.39745713996887205,0.4677097946405411,0.8835306115772413,0.4036240171882312,0.5282890159016361,0.10845921990340171,0.16516318079084158,0.1460601761341095,0.0006089994258863795,48.187848806381226
27,0.39926101112365725,0.45300700418327167,0.9209886011870011,0.42825028681616467,0.5469621988977046,0.10845921990340171,0.11419369796108779,0.14547667995095254,0.000595448496598782,47.86721062660217
28,0.392515500664711,0.4536588237337444,0.936461487542028,0.43443762310471434,0.5470553168146137,0.10845921990340171,0.08898557826583071,0.14448686155676843,0.0005815961998958186,48.46290969848633
29,0.3932528703212738,0.5062972773676333,0.9403162469034609,0.41184449558067937,0.5158221286387769,0.10845921990340171,0.06904239494115641,0.1436485178619623,0.0005674638950149711,47.956257820129395
30,0.39275135326385496,0.500179172857948,0.8412406146526337,0.4042196679081114,0.5263534537531995,0.10845921990340171,0.2265097787603736,0.14542238929867746,0.0005530733729460358,48.26599359512329
31,0.38428099715709685,0.4242710477632025,0.9169534159743268,0.43237825480622744,0.5587910451575905,0.10845921990340171,0.12597342992565877,0.14680214987695217,0.0005384468228309971,47.93165993690491
32,0.3828682121038437,0.4594272459330766,0.9248712451561637,0.42038641889347494,0.5343448479070289,0.10845921990340171,0.1043535920604051,0.14756859670579434,0.0005236067977499788,48.39026355743408
33,0.38531550657749175,0.45916951512512955,0.9316614114719889,0.41876352254672083,0.5268965951908352,0.10845921990340171,0.0970151187907702,0.14559688194096088,0.0005085761799460296,47.78235363960266
34,0.3848659768104553,0.43663873555867566,0.9373911748761716,0.432024406115851,0.5448351258957682,0.10845921990340171,0.08780440482887966,0.14742500714957715,0.0004933781455423621,48.03979182243347
35,0.3831003271341324,0.476339402406112,0.8767563415610272,0.3882322665040709,0.5139836115869012,0.10845921990340171,0.17499499749797193,0.1453035604953766,0.0004780361288064512,48.50715732574463
36,0.38595871567726137,0.43058789035548334,0.9107222272002179,0.4158255819961701,0.5303511643415082,0.10845921990340171,0.13268210229959906,0.14602540327608585,0.00046257378601609225,48.56030201911926
37,0.3854043840169907,0.423592996986016,0.9126274818959443,0.4313608473932105,0.5500803984477752,0.10845921990340171,0.13232868137192386,0.14949866285920144,0.00044701495898313495,48.19456148147583
38,0.379513139128685,0.45911473489325977,0.9367871206739674,0.41728777838380543,0.5296753959283603,0.10845921990340171,0.08775224886820703,0.1479287585169077,0.00043138363829113785,48.41402626037598
39,0.37682633912563324,0.4271737401900084,0.8999043703079224,0.4417542483387502,0.5674758944859427,0.10845921990340171,0.15642608646505876,0.14707785438001156,0.0004157039263036273,47.93547224998474
