experiment,epochs_run,best_epoch,decision_rule,threshold,val_iou_water,val_f1_water,val_accuracy,val_true_water_frac,val_pred_water_frac,notes
colab_full_weighted_ce_batch_avg_argmax,35,20,argmax / batch-averaged metrics,0.5,0.4458762669684066,0.5686509901143934,0.9342799523602361,0.10845921990340171,0.10462317329517606,Training metric; averages IoU/F1 per batch.
colab_full_weighted_ce_global_threshold,35,20,softmax water threshold / global confusion,0.5499999999999999,0.536163354467471,0.6980551292389582,,0.11025550216436386,0.09432200342416763,Recommended validation readout; computes confusion over all valid pixels.
