epoch,train_loss,val_loss,accuracy,iou_water,f1_water,true_water_frac,pred_water_frac,train_pred_water_frac,lr,seconds
1,0.4030490469932556,0.4389291638913362,0.8564102001812147,0.292434235440248,0.41258555585397005,0.10845921990340171,0.164035153777703,0.15161061784625054,0.0009996145181203615,26.0252742767334
2,0.34362982511520385,0.5370566767194996,0.7222571062005084,0.23367453987234754,0.3488986718084407,0.10845921990340171,0.3274253056101177,0.13164287212491035,0.000998458666866564,24.223405599594116
3,0.33486414337158205,0.36951842321001965,0.8805490991343623,0.3334582261389734,0.4502317640450432,0.10845921990340171,0.14613096173042836,0.13660974758863448,0.0009965342284774632,24.701101303100586
4,0.32281377458572386,0.3930130639801855,0.8724424113398013,0.3309773936023532,0.4469520557788395,0.10845921990340171,0.15649914883239113,0.13744863823056222,0.0009938441702975688,25.81873631477356
5,0.3137289266586304,0.3803259095420008,0.9153679401978202,0.2754141911951871,0.37825811952994437,0.10845921990340171,0.04892717439044803,0.14575648081302642,0.0009903926402016151,25.152742862701416
6,0.30206941801309584,0.3742550818816475,0.827036246009495,0.3157547942348154,0.43282215221114806,0.10845921990340171,0.2290170029129671,0.1464173335134983,0.0009861849601988382,26.41085982322693
7,0.30172901606559754,0.4134894680717717,0.8123082155766694,0.29494954478579144,0.41677567747675864,0.10845921990340171,0.23311178353817566,0.14552937436103822,0.0009812276182268236,34.11072587966919
8,0.2837724149227142,0.3429330519360045,0.8598293117854906,0.3500437798871151,0.46832903749350047,0.10845921990340171,0.1919050139941923,0.1438039533495903,0.0009755282581475768,26.913557052612305
9,0.2937052657604218,0.5102786473605944,0.6968858559494433,0.25031496773021084,0.3575665596896985,0.10845921990340171,0.3638278401416281,0.14534157389402388,0.0009690956679612421,26.07064652442932
10,0.2869485226869583,0.3136784395445948,0.9275435001953788,0.42798211935564323,0.5495929831649322,0.10845921990340171,0.10408972828325046,0.14162233021855355,0.0009619397662556433,25.55907106399536
11,0.2883746085166931,0.3480967600708422,0.8578104998754419,0.3545420026223906,0.4797565904107625,0.10845921990340171,0.19493996627304866,0.1467661316394806,0.0009540715869125406,26.054264783859253
12,0.28890915954113006,0.34657314452140225,0.9155392283978669,0.3693615513165468,0.49187418702086716,0.10845921990340171,0.09897826728411019,0.14404696090519428,0.0009455032620941839,24.841561555862427
13,0.28023061031103136,0.2863896404919417,0.9220160971517148,0.4155071987102112,0.5357665067307461,0.10845921990340171,0.11519799177008479,0.1437670640349388,0.0009362480035363986,35.34758472442627
14,0.27678719091415405,0.3202100156441979,0.9263907256333724,0.4125611305513669,0.5259134775214188,0.10845921990340171,0.10073785176348832,0.1402091193795204,0.0009263200821770461,27.599070072174072
15,0.2783043642640114,0.35789537073477456,0.9376439089360444,0.38762733894592183,0.4975585643935614,0.10845921990340171,0.06301757941559039,0.14333500605821609,0.0009157348061512728,26.327570915222168
16,0.2760413628220558,0.32106438408727234,0.9143864331038102,0.3674842975918053,0.49597047723287324,0.10845921990340171,0.09897158948233878,0.14440928742289544,0.0009045084971874739,24.90255570411682
17,0.2771905089616776,0.31754508258207986,0.9357122856637706,0.4000659567252535,0.5136389237900797,0.10845921990340171,0.06509504006902242,0.14818316674232482,0.0008926584654403725,25.913826942443848
18,0.2687356128096581,0.31600005795126374,0.9116490224133367,0.4050671086270376,0.5324266202958606,0.10845921990340171,0.12456551971136713,0.1450283143222332,0.0008802029828000156,25.509005784988403
19,0.268605171918869,0.3077815226886583,0.9340061519456946,0.43169931743460216,0.5513891988618742,0.10845921990340171,0.09180792953069929,0.14254862722754477,0.0008671612547178428,34.04750061035156
20,0.2687062483429909,0.2783679016258406,0.9342799523602361,0.4458762669684066,0.5686509901143934,0.10845921990340171,0.10462317329517606,0.1448598842918873,0.0008535533905932737,25.98279309272766
21,0.27791875809431077,0.3018769634806592,0.9040681331054025,0.4077963303873636,0.5283378404060158,0.10845921990340171,0.140346418223445,0.1453091584146023,0.0008394003727664709,26.659397840499878
22,0.2689792419075966,0.3067297433381495,0.9373178948526797,0.4241437725336972,0.5441109601998937,0.10845921990340171,0.07965787430293858,0.14455706977844238,0.0008247240241650919,25.43546748161316
23,0.26844081419706345,0.31429261422675586,0.9395748998807825,0.41665885743011477,0.5251906621972142,0.10845921990340171,0.07585743877469846,0.1483725519478321,0.000809546974654917,26.66925287246704
24,0.2578363704681397,0.2836694280090539,0.9330041823179825,0.4285783338949835,0.5437674796642429,0.10845921990340171,0.09772691875190029,0.1493512270450592,0.0007938926261462366,25.18758201599121
25,0.2588624874353409,0.2911187850910684,0.8999016673668571,0.40068182152422693,0.5202508069691115,0.10845921990340171,0.1509820563242892,0.14353242979943753,0.0007777851165098012,36.00986456871033
26,0.264770911693573,0.3114366340248481,0.9403224017309106,0.42316607871089756,0.5372768717513756,0.10845921990340171,0.07298209201848216,0.14649445812404155,0.0007612492823579744,28.39262294769287
27,0.2545982117652893,0.31806178390979767,0.9333039703576461,0.3826173310920571,0.49381586075908934,0.10845921990340171,0.07372851802590405,0.14899573701620103,0.0007443106207484776,25.993120908737183
28,0.2558917310833931,0.2939240180927774,0.9181874912718068,0.40608447809277165,0.5282333647394565,0.10845921990340171,0.11758022463333834,0.14853385724127294,0.0007269952498697734,24.995124578475952
29,0.26080204904079435,0.30375140063140704,0.9265895382217739,0.4148368494264739,0.5326054288610274,0.10845921990340171,0.10400589232069804,0.1479722103253007,0.0007093298687687142,26.490503072738647
30,0.25586099869012835,0.2796963842018791,0.9237550600715305,0.41527889208985036,0.5312702788674454,0.10845921990340171,0.11229225597850492,0.1446758629977703,0.000691341716182545,25.41935682296753
31,0.2530837292075157,0.2773943365268085,0.9370147689529087,0.43519181236983756,0.5495062128793211,0.10845921990340171,0.09209643139721542,0.14472693257033825,0.0006730585285387465,36.43735957145691
32,0.2549352588057518,0.2918308555431988,0.9247692071873209,0.4173699119985675,0.5352638371853009,0.10845921990340171,0.1114909464655363,0.1457390752583742,0.0006545084971874737,29.578760385513306
33,0.255523208796978,0.297870049658029,0.9139461361843607,0.3992294339471156,0.5170547652894666,0.10845921990340171,0.12324180388215768,0.14799529790878296,0.0006357202249325371,26.668100118637085
34,0.2612243996858597,0.34288866494012915,0.9356899572455365,0.3564239218105694,0.4631094777403983,0.10845921990340171,0.0560225591319107,0.14471081925928592,0.0006167226819279528,24.806236028671265
35,0.25714491480588914,0.2690315285454626,0.934268057346344,0.43484499335618215,0.5511289756736076,0.10845921990340171,0.09841372282244265,0.14760798341035844,0.0005975451610080642,26.375808477401733
